  0.00000000D+00  0.00000000D+00  5.00000000D+00  2.84500261D+03  0.00000000D+00  1.09370529D+02  2.95437314D+03
  1.00000000D-05  9.34837219D-07  5.00000000D+00  2.84500261D+03 -6.48477228D-07  1.09370529D+02  2.95437314D+03
  1.10000000D-05  1.02832094D-06  5.00000000D+00  2.84500261D+03 -7.84657446D-07  1.09370529D+02  2.95437314D+03
  1.20000000D-05  1.12180466D-06  5.00000000D+00  2.84500261D+03 -9.33807208D-07  1.09370529D+02  2.95437314D+03
  1.30000000D-05  1.21528839D-06  5.00000000D+00  2.84500261D+03 -1.09592652D-06  1.09370529D+02  2.95437314D+03
  1.40000000D-05  1.30877211D-06  5.00000000D+00  2.84500261D+03 -1.27101537D-06  1.09370529D+02  2.95437314D+03
  1.50000000D-05  1.40225583D-06  5.00000000D+00  2.84500261D+03 -1.45907376D-06  1.09370529D+02  2.95437314D+03
  1.60000000D-05  1.49573955D-06  5.00000000D+00  2.84500261D+03 -1.66010170D-06  1.09370529D+02  2.95437314D+03
  1.70000000D-05  1.58922327D-06  5.00000000D+00  2.84500261D+03 -1.87409919D-06  1.09370529D+02  2.95437314D+03
  1.80000000D-05  1.68270699D-06  5.00000000D+00  2.84500261D+03 -2.10106622D-06  1.09370529D+02  2.95437314D+03
  1.90000000D-05  1.77619072D-06  5.00000000D+00  2.84500261D+03 -2.34100279D-06  1.09370529D+02  2.95437314D+03
  2.00000000D-05  1.86967444D-06  5.00000000D+00  2.84500261D+03 -2.59390891D-06  1.09370529D+02  2.95437313D+03
  2.10000000D-05  1.96315816D-06  5.00000000D+00  2.84500261D+03 -2.85978457D-06  1.09370529D+02  2.95437313D+03
  2.20000000D-05  2.05664188D-06  5.00000000D+00  2.84500261D+03 -3.13862978D-06  1.09370529D+02  2.95437313D+03
  2.30000000D-05  2.15012560D-06  5.00000000D+00  2.84500261D+03 -3.43044453D-06  1.09370529D+02  2.95437313D+03
  2.40000000D-05  2.24360933D-06  5.00000000D+00  2.84500261D+03 -3.73522883D-06  1.09370529D+02  2.95437313D+03
  2.50000000D-05  2.33709305D-06  5.00000000D+00  2.84500261D+03 -4.05298267D-06  1.09370529D+02  2.95437313D+03
  2.60000000D-05  2.43057677D-06  5.00000000D+00  2.84500261D+03 -4.38370606D-06  1.09370529D+02  2.95437313D+03
  2.70000000D-05  2.52406049D-06  5.00000000D+00  2.84500261D+03 -4.72739899D-06  1.09370529D+02  2.95437313D+03
  2.80000000D-05  2.61754421D-06  5.00000000D+00  2.84500261D+03 -5.08406146D-06  1.09370529D+02  2.95437313D+03
