                                            x xi w  dw Cv0 Cv Cvqt w0= 5.00000000D+00
  0.00000000D+00  0.00000000D+00  5.00000000D+00  0.00000000D+00  8.60961976D-01  8.60961976D-01  1.35967944D+01
  1.00000000D-05  9.34837219D-07  5.00000000D+00 -3.00000000D-05  8.60961976D-01  8.60961976D-01  1.35967944D+01
  1.10000000D-05  1.02832094D-06  5.00000000D+00 -3.30000000D-05  8.60961976D-01  8.60961976D-01  1.35967944D+01
  1.20000000D-05  1.12180466D-06  5.00000000D+00 -3.60000000D-05  8.60961976D-01  8.60961976D-01  1.35967944D+01
  1.30000000D-05  1.21528839D-06  5.00000000D+00 -3.90000000D-05  8.60961976D-01  8.60961976D-01  1.35967944D+01
  1.40000000D-05  1.30877211D-06  5.00000000D+00 -4.20000000D-05  8.60961976D-01  8.60961976D-01  1.35967944D+01
  1.50000000D-05  1.40225583D-06  5.00000000D+00 -4.50000000D-05  8.60961976D-01  8.60961976D-01  1.35967944D+01
  1.60000000D-05  1.49573955D-06  5.00000000D+00 -4.80000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  1.70000000D-05  1.58922327D-06  5.00000000D+00 -5.10000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  1.80000000D-05  1.68270699D-06  5.00000000D+00 -5.40000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  1.90000000D-05  1.77619072D-06  5.00000000D+00 -5.70000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  2.00000000D-05  1.86967444D-06  5.00000000D+00 -6.00000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  2.10000000D-05  1.96315816D-06  5.00000000D+00 -6.30000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  2.20000000D-05  2.05664188D-06  5.00000000D+00 -6.60000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  2.30000000D-05  2.15012560D-06  5.00000000D+00 -6.90000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  2.40000000D-05  2.24360933D-06  5.00000000D+00 -7.20000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  2.50000000D-05  2.33709305D-06  5.00000000D+00 -7.50000000D-05  8.60961976D-01  8.60961975D-01  1.35967944D+01
  2.60000000D-05  2.43057677D-06  5.00000000D+00 -7.80000000D-05  8.60961976D-01  8.60961974D-01  1.35967944D+01
  2.70000000D-05  2.52406049D-06  5.00000000D+00 -8.09999999D-05  8.60961976D-01  8.60961974D-01  1.35967944D+01
  2.80000000D-05  2.61754421D-06  5.00000000D+00 -8.39999999D-05  8.60961976D-01  8.60961974D-01  1.35967944D+01
  2.90000000D-05  2.71102794D-06  5.00000000D+00 -8.69999999D-05  8.60961976D-01  8.60961974D-01  1.35967944D+01
  3.00000000D-05  2.80451166D-06  5.00000000D+00 -8.99999999D-05  8.60961976D-01  8.60961974D-01  1.35967944D+01
  3.10000000D-05  2.89799538D-06  5.00000000D+00 -9.29999999D-05  8.60961976D-01  8.60961974D-01  1.35967944D+01
  3.20000000D-05  2.99147910D-06  5.00000000D+00 -9.59999999D-05  8.60961976D-01  8.60961974D-01  1.35967944D+01
