SOURCE_ID	ra	ra_error	dec	dec_error	parallax	parallax_error	pmra	pmra_error	pmdec	pmdec_error	radial_velocity	radial_velocity_error	bp_rp	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	teff_gspphot	ra_dec_corr	pmra_pmdec_corr
6045479868606172800	245.83737653765897	0.07622022181749344	-26.38768010676026	0.04231518507003784	0.4179356581817666	0.08235079795122147	-12.490570027374527	0.11707119643688202	-18.664329356266883	0.07662759721279144			1.3150577545166016	17.204875946044922	17.771503448486328	16.456445693969727	6032.09228515625	-0.2511812746524811	-0.001501462422311306
6045479868606182272	245.83815871956526	0.058885108679533005	-26.377575023914034	0.034963540732860565	0.48785965649266966	0.06368191540241241	-12.027702920689276	0.08305079489946365	-18.972145397831998	0.06025024503469467			1.3084392547607422	16.773038864135742	17.346492767333984	16.038053512573242	6576.90087890625	-0.4161047637462616	-0.16619187593460083
6045479868606282112	245.8462457734957	0.04243212193250656	-26.375685674660193	0.024488376453518867	0.5061880749590234	0.04575301706790924	-12.532397202003246	0.0633881539106369	-18.618167836787183	0.046139560639858246			1.3720474243164062	16.1436824798584	16.752050399780273	15.380002975463867	7382.908203125	-0.3824673295021057	-0.27000096440315247
6045479868606282496	245.84337994271735	0.03405848890542984	-26.373157001871274	0.02086825668811798	0.5138025704871244	0.03678397089242935	-12.944657640935514	0.05029117316007614	-19.227828662355396	0.037657126784324646			1.5127630233764648	15.555780410766602	16.230871200561523	14.718108177185059	15014.2509765625	-0.5238383412361145	-0.42538341879844666
6045479902965934080	245.80855140219586	0.12902812659740448	-26.380570766208905	0.07342483103275299	0.43786642595093606	0.14234770834445953	-12.50346956552253	0.19957996904850006	-18.444022339613376	0.13823255896568298			1.4564933776855469	18.098045349121094	18.76543617248535	17.308942794799805	5183.89990234375	-0.4549415111541748	-0.35352644324302673
6045479933014675840	245.82771445527783	0.13638059794902802	-26.370904519243865	0.0766310915350914	0.363454661138493	0.1519521027803421	-12.263008945921733	0.20300260186195374	-19.37445037377483	0.13965874910354614			1.4667491912841797	18.302919387817383	18.995668411254883	17.528919219970703	4918.6875	-0.341971755027771	-0.07772365212440491
6045479937318195328	245.83728208126527	0.1832682490348816	-26.373546010234136	0.1121414303779602	0.48525196063448195	0.1957186609506607	-12.766028071802609	0.27042824029922485	-18.790206633685152	0.20131082832813263				18.679920196533203				-0.39611977338790894	-0.2562500536441803
6045479937318204928	245.8256127015853	0.1884063333272934	-26.37545091562943	0.10666262358427048	0.41789967835292063	0.1985848993062973	-12.291261114009869	0.28633949160575867	-19.54503713603977	0.19271892309188843			1.4539051055908203	18.673254013061523	19.251628875732422	17.7977237701416		-0.23566237092018127	0.020802468061447144
6045479937325662720	245.8373143107081	0.09279639273881912	-26.373312403199034	0.05410692095756531	0.42277103249492076	0.10109581798315048	-12.138412980445615	0.13632619380950928	-19.009073047170325	0.09612510353326797			1.4433860778808594	17.657901763916016	17.962501525878906	16.519115447998047		-0.3273281753063202	-0.1552523523569107
6045479937325664384	245.82794663191302	0.108922578394413	-26.377431307416842	0.0623951330780983	0.37004666798284963	0.11994262784719467	-12.804393285426684	0.15982423722743988	-18.3923100660284	0.11138998717069626			1.4041366577148438	17.907424926757812	18.557035446166992	17.15289878845215	5284.92333984375	-0.3662826120853424	-0.09067931771278381
6045479967378497664	245.65499486177225	0.17440031468868256	-26.52300115326713	0.10026144981384277	0.49421614292110094	0.18833217024803162	-12.421835864615321	0.26368796825408936	-19.186224173351285	0.18268968164920807			1.5591545104980469	18.61766815185547	19.342042922973633	17.782888412475586	4760.228515625	-0.4210672676563263	-0.29342806339263916
6045479971685364736	245.66127202725815	0.14861008524894714	-26.51770515292151	0.08397603034973145	0.4448286997018308	0.1581719070672989	-12.416992884396363	0.2175060510635376	-19.154532276640218	0.15168635547161102			1.5373497009277344	18.354751586914062	19.056488037109375	17.51913833618164	4810.97509765625	-0.43964076042175293	-0.25220543146133423
6045479971685366784	245.65651793481257	0.1326638013124466	-26.519392064296845	0.07593919336795807	0.46430729953539296	0.14422444999217987	-12.566177728419639	0.19974207878112793	-19.592614628550194	0.1389124095439911			1.5194549560546875	18.173994064331055	18.89739418029785	17.377939224243164	4841.25	-0.4363662004470825	-0.26312002539634705
6045480074764607488	245.65453951324048	0.042040176689624786	-26.49660122877484	0.024389252066612244	0.5157021951665931	0.04447891563177109	-12.631113465214664	0.06229599565267563	-18.84207613577795	0.04588903486728668			1.406418800354004	16.054523468017578	16.66792869567871	15.261509895324707	5918.5634765625	-0.4512563645839691	-0.285309761762619
6045480109124449280	245.66931998848364	0.06319132447242737	-26.496276788459866	0.03601134568452835	0.4014019331513919	0.06794115155935287	-12.621416378532878	0.09422506392002106	-18.91209719926997	0.06999021768569946			1.2876338958740234	16.76556396484375	17.32271385192871	16.035079956054688	6236.59619140625	-0.5353146195411682	-0.4567795395851135
6045480143484075392	245.6809961345178	0.11378831416368484	-26.488972559736638	0.06670399010181427	0.48167179411144806	0.11933539807796478	-12.821299982225552	0.16536590456962585	-18.639232331039814	0.12176518142223358			1.3643760681152344	17.866596221923828	18.474363327026367	17.109987258911133	5522.30322265625	-0.507860541343689	-0.3564690947532654
6045480177843829760	245.6585451372329	0.027275020256638527	-26.487138616415006	0.015869110822677612	0.4861376763195228	0.028939470648765564	-12.871938292089183	0.03986120596528053	-18.36334409790941	0.029599113389849663	77.83380889892578	4.810632705688477	1.5421552658081055	14.999993324279785	15.70911693572998	14.166961669921875	5629.14599609375	-0.4917123019695282	-0.33904731273651123
6045480212203562368	245.6830673706398	0.11474502086639404	-26.477326886651667	0.06526614725589752	0.5214421901214075	0.12370631098747253	-12.694390394602761	0.1701287180185318	-19.101329485108987	0.11904153227806091			1.4277458190917969	17.950437545776367	18.597087860107422	17.169342041015625	5083.646484375	-0.458221435546875	-0.28433987498283386
6045480212203564288	245.68515362633792	0.01491639856249094	-26.474261999325442	0.008782599121332169	0.529852256974376	0.01609945110976696	-12.863555415269655	0.022164639085531235	-18.620616610371858	0.01656305603682995			0.8087835311889648	13.49743938446045	13.809121131896973	13.000337600708008		-0.5255144834518433	-0.43391984701156616
