SOURCE_ID	ra	ra_error	dec	dec_error	parallax	parallax_error	pmra	pmra_error	pmdec	pmdec_error	radial_velocity	radial_velocity_error	bp_rp	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	teff_gspphot	pmra_pmdec_corr
6045463302900304256	245.85296151627725	0.15999475121498108	-26.60231282798542	0.09658317267894745	0.5429265988856029	0.17633335292339325	-11.95207642002148	0.23561027646064758	-19.065121717997492	0.16351139545440674			1.4526844024658203	18.390745162963867	19.06884765625	17.61616325378418	4744.5693359375	-0.05987214669585228
6045463307211210880	245.84715388976824	0.09951205551624298	-26.594509989442884	0.06005646288394928	0.5319405283043168	0.10934967547655106	-12.306912321181471	0.15057556331157684	-19.180720038888317	0.11175011843442917			1.3333778381347656	17.468048095703125	18.030942916870117	16.69756507873535	5522.87060546875	-0.33634626865386963
6045463371627697920	245.88794641669494	0.07408294826745987	-26.58583941962165	0.044401541352272034	0.545637102507818	0.08401282131671906	-12.227340387087718	0.11145000904798508	-19.373978253961297	0.07710608094930649			1.3171195983886719	17.127506256103516	17.719444274902344	16.402324676513672	5932.14453125	-0.1536668837070465
6045463375930617728	245.89125128316465	0.014739061705768108	-26.586035539972595	0.009083734825253487	0.5340947369661699	0.016297679394483566	-12.707346047819053	0.021365802735090256	-19.188335254503265	0.01571355201303959			0.8233184814453125	13.378728866577148	13.697040557861328	12.873722076416016		-0.2803370952606201
6045463375930645504	245.88596279289322	0.23814663290977478	-26.58136740888448	0.16976259648799896	0.5421455875487775	0.25905874371528625	-13.467228689220413	0.3420396149158478	-18.21239987359679	0.27851933240890503				18.86592674255371				-0.2947484850883484
6045463410279791360	245.85393679855878	0.1267562210559845	-26.590498510170615	0.07945727556943893	0.5480962164112185	0.13289661705493927	-13.117706363219277	0.18921628594398499	-18.844343849906455	0.1437067985534668			1.3169212341308594	17.880529403686523	18.256269454956055	16.939348220825195		-0.3365532457828522
6045225224274703488	246.49739220378876	0.12506872415542603	-26.98264208401546	0.0743231326341629	0.5429777751737958	0.1372002810239792	-12.21523871462733	0.17114004492759705	-19.432961215397913	0.1166810393333435			1.2676868438720703	17.924596786499023	18.48017120361328	17.21248435974121	4884.23486328125	0.020993240177631378
6045463444639403136	245.87936076009862	0.11262330412864685	-26.58389516772538	0.06945925951004028	0.5359975180243275	0.12167473137378693	-12.488033277243447	0.1686025857925415	-18.4114082406655	0.12053574621677399			1.3641681671142578	17.837419509887695	18.279584884643555	16.915416717529297	5866.60791015625	-0.014171794056892395
6045463444650173952	245.87510073240162	0.05823477730154991	-26.574547134449148	0.03555907681584358	0.5412573130090236	0.062078602612018585	-13.266291996814534	0.08249730616807938	-19.229346444769444	0.06127385422587395			1.3199024200439453	16.711132049560547	17.2286376953125	15.908735275268555	5790.0771484375	-0.16685126721858978
6045463444650192256	245.867756829057	0.019787035882472992	-26.574513733512806	0.012397545389831066	0.5380015533324396	0.020387738943099976	-12.341963453500892	0.026348087936639786	-18.963643092909606	0.020586024969816208	68.49396514892578	3.9376933574676514	1.5785675048828125	14.17977237701416	14.911240577697754	13.332673072814941	5857.2177734375	-0.2668047845363617
